,Well,Absorbance,Cell_Type,Dilution,GROUP ID
643,E3,0.0825,Diseased,5e+05,
644,E4,-0.0185,Diseased,250000,
645,E5,-0.0785,Diseased,125000,
646,E6,-0.0805,Diseased,62500,
647,E7,-0.0745,Diseased,31250,
648,E8,-0.0985,Diseased,15625,
649,E9,-0.1035,Diseased,7812.5,
650,E10,-0.0885,Diseased,3906.25,
651,F1,1.0635,Diseased,2e+06,
652,F2,0.5275,Diseased,1e+06,
653,F3,0.4125,Diseased,5e+05,
654,F4,0.0505,Diseased,250000,
655,F5,0.0015,Diseased,125000,
656,F6,-0.0575,Diseased,62500,
657,F7,-0.0825,Diseased,31250,
658,F8,-0.0895,Diseased,15625,
659,F9,-0.0955,Diseased,7812.5,
660,F10,-0.0645,Diseased,3906.25,
661,A1,1.888833333,Healthy,2e+06,
662,A2,1.289833333,Healthy,1e+06,
663,A3,1.179833333,Healthy,5e+05,
664,A4,0.475833333,Healthy,250000,
665,A5,0.204833333,Healthy,125000,
666,A6,0.113833333,Healthy,62500,
667,A7,0.025833333,Healthy,31250,
668,A8,0.005833333,Healthy,15625,
669,A9,-0.025166667,Healthy,7812.5,
670,A10,-0.014166667,Healthy,3906.25,
671,B1,2.007833333,Healthy,2e+06,
672,B2,2.499833333,Healthy,1e+06,
673,B3,2.334833333,Healthy,5e+05,
674,B4,0.933833333,Healthy,250000,
675,B5,0.600833333,Healthy,125000,
676,B6,0.275833333,Healthy,62500,
677,B7,0.075833333,Healthy,31250,
678,B8,0.015833333,Healthy,15625,
679,B9,-0.020166667,Healthy,7812.5,
680,B10,-0.028166667,Healthy,3906.25,
681,C1,2.316833333,Healthy,2e+06,
682,C2,2.544833333,Healthy,1e+06,
683,C3,1.099833333,Healthy,5e+05,
684,C4,1.117833333,Healthy,250000,
685,C5,0.581833333,Healthy,125000,
686,C6,0.232833333,Healthy,62500,
687,C7,0.067833333,Healthy,31250,
688,C8,-0.012166667,Healthy,15625,
689,C9,-0.026166667,Healthy,7812.5,
690,C10,-0.031166667,Healthy,3906.25,
691,D1,-0.084166667,Diseased,2e+06,
692,D2,-0.080166667,Diseased,1e+06,
693,D3,0.013833333,Diseased,5e+05,
694,D4,-0.093166667,Diseased,250000,
695,D5,-0.102166667,Diseased,125000,
696,D6,-0.126166667,Diseased,62500,
697,D7,-0.095166667,Diseased,31250,
698,D8,-0.120166667,Diseased,15625,
699,D9,-0.123166667,Diseased,7812.5,
700,D10,-0.120166667,Diseased,3906.25,
701,E1,0.596833333,Diseased,2e+06,
702,E2,0.390833333,Diseased,1e+06,
703,E3,0.129833333,Diseased,5e+05,
704,E4,0.080833333,Diseased,250000,
705,E5,-0.067166667,Diseased,125000,
706,E6,-0.084166667,Diseased,62500,
707,E7,-0.087166667,Diseased,31250,
708,E8,-0.101166667,Diseased,15625,
